,designation,d/au,d_error/au,t/yr,z,ra/deg,dec/deg,RUWE
29,Gaia DR3 6049369700211681152,225427.40631668788,178.53025311888555,-10000.0,1262.6846283950144,246.5448031,-23.919420000000002,0.83347267
50,Gaia DR3 6049117121774649472,226653.62772204197,0.0055922730092471925,0.0,40529785.89336666,246.44864469999996,-24.62775217,0.99136025
21,Gaia DR3 6049140417677195136,228311.86847179176,0.0045648751119340076,0.0,50014921.081830546,246.3513036,-24.46582822,1.1046243999999998
99,Gaia DR3 6050869571512783488,228451.21405863282,39.261616332876024,-10000.0,5818.691011641755,246.768673,-23.84580449,0.95715374
98,Gaia DR3 6049090974013703424,229442.40118537354,0.033669120961715156,0.0,6814624.042197905,246.98180209999998,-24.74752021,1.4819212
182,Gaia DR3 6049116846896669824,231346.08547769338,0.003103846356772749,0.0,74535289.08506846,246.4604994,-24.65414945,1.2531404
409,Gaia DR3 6049139455604590720,232841.6808856909,76.13110418015371,-10000.0,3058.430366840645,246.35143019999998,-24.49578094,2.0671597
457,Gaia DR3 6049067849909782272,234929.37678125,0.021118102844088753,0.0,11124549.32697754,246.8784668,-24.79089958,1.4903426000000002
30,Gaia DR3 6049070083292838912,235366.07087668055,0.003165706795966627,0.0,74348663.99394803,246.68506499999998,-24.78725699,0.98588836
89,Gaia DR3 6050682379656106496,236376.37463312008,44.37337782329526,-10000.0,5326.986274843079,246.9544756,-23.86433617,1.0731248
820,Gaia DR3 6049081284567483136,237618.0316029242,0.025575937940577845,0.0,9290686.900906501,247.0988997,-24.69496082,1.0589392
27,Gaia DR3 6049067776894321024,238052.05176015088,0.003590376876880724,0.0,66302803.27756779,246.84566710000001,-24.80209976,1.0535238
34,Gaia DR3 6050870189987905664,238917.03264551214,104.11273672276165,-10000.0,2294.7915900214625,246.8840758,-23.83398042,1.0114653
703,Gaia DR3 6049101866050768384,239212.71727820122,0.015901006351549264,0.0,15043872.820973642,247.2372662,-24.51946871,1.0724311000000002
334,Gaia DR3 6049102621963483136,241615.60165101002,0.012569241185105322,0.0,19222767.55555673,247.26338199999998,-24.46368852,1.0765162
314,Gaia DR3 6049079493565136768,242646.8844460021,521.5388982151945,-10000.0,465.2517487696238,247.03371980000003,-24.75354226,1.1027777
311,Gaia DR3 6050609159051705088,243021.03675360684,0.033363896974650274,0.0,7283952.379371421,247.28428730000002,-24.26310947,1.0993328000000002
223,Gaia DR3 6049139416948170368,243565.1454882322,0.0298868674638667,0.0,8149570.903765779,246.3375795,-24.517050100000002,1.0215442
1430,Gaia DR3 6050869739013583744,244735.0485768706,182.2216865145983,-10000.0,1343.0621418228625,246.797579,-23.81418603,0.9659831
826,Gaia DR3 6050681451943165312,250829.71771543115,0.005290317151103351,0.0,47412983.106904656,247.0383779,-23.87251731,3.0253775000000003
296,Gaia DR3 6050687533616858112,256238.08797330235,50.88007651521097,-4716.353050624946,5036.118369371911,247.0331768,-23.85710758,0.9246289000000001
473,Gaia DR3 6049374510575054336,258767.96935179862,136.79898607495312,-10000.0,1891.5927433118388,246.34348070000001,-24.03509009,1.0407783000000002
46,Gaia DR3 6049078741946841856,259072.01659489516,0.00647096718354258,0.0,40036057.86377427,246.99979159999998,-24.80547889,1.0501082
408,Gaia DR3 6050683994563853568,259597.70190864606,0.005277112786912371,0.0,49193131.24261197,247.11939180000002,-23.90471811,1.0939113
87,Gaia DR3 6049053070926588032,263591.97047935333,1572.4260991835745,-10000.0,167.63393244122184,246.9097944,-24.89893313,1.0891963
36,Gaia DR3 6049080696156355072,264128.1520372246,0.049766704243615845,0.0,5307326.576103488,247.17795550000002,-24.69561874,1.041844
39,Gaia DR3 6049065307289238528,264925.0641417158,0.00318058325971778,0.0,83294491.13846596,246.8103438,-24.85942183,1.0634363000000002
37,Gaia DR3 6049065307289238144,265699.7701139289,0.0026384046761313944,0.0,100704707.09728868,246.81300699999997,-24.86090702,1.1389308999999999
142,Gaia DR3 6049133477010044288,270761.0085903274,188.10327179389063,-10000.0,1439.4274273283609,246.28304649999998,-24.53271374,1.0322511
240,Gaia DR3 6050874725473381248,273194.7454191118,82.96909014691289,-10000.0,3292.729195117934,246.8416808,-23.75702402,1.0219721
879,Gaia DR3 6049055098150882816,274796.67994851276,0.017655853390672948,0.0,15564055.379712176,246.96147280000002,-24.85377516,1.0838758999999998
484,Gaia DR3 6049336405625377920,277653.29282607464,120.23872677972969,-10000.0,2309.1835738972786,246.2387349,-24.19018062,1.1078217
900,Gaia DR3 6049134507802195968,279713.39872711693,0.03374744833929667,0.0,8288431.0515829185,246.25198140000003,-24.4988168,0.9781042999999999
748,Gaia DR3 6050885411348239872,280043.2956779839,86.07161540960682,-10000.0,3253.6079908025877,246.64588840000002,-23.76181539,1.2212346
130,Gaia DR3 6050885411352028160,280884.10936852,88.33012943392409,-10000.0,3179.935444095971,246.64537760000002,-23.76139226,1.1199584999999999
460,Gaia DR3 6049129628719345792,282100.181080407,0.019770905801946247,0.0,14268450.009641796,246.2977017,-24.61148655,0.9810618
609,Gaia DR3 6049077642435210496,287626.27927363757,0.008702491136528654,0.0,33051028.12070994,247.0511527,-24.84585922,1.4213642
162,Gaia DR3 6049077642435210240,287949.00388663536,0.00806072287930092,0.0,35722479.013148785,247.0522338,-24.84605922,0.9885725000000001
47,Gaia DR3 6049114922751320960,288409.8477524625,0.002927708983782301,0.0,98510422.09115553,246.3619367,-24.71928816,1.0217886
198,Gaia DR3 6049376503440534400,290017.9243113366,319.52748220101495,-10000.0,907.6462603892272,246.35148519999998,-23.91973104,1.8270096999999998
44,Gaia DR3 6050875618822791936,290426.6483596957,595.8676682544763,-10000.0,487.4012533864543,246.72808659999998,-23.72418017,1.0559907
169,Gaia DR3 6049064551374989312,292569.23460995645,0.0034198196657170745,0.0,85551070.87747855,246.82646839999998,-24.91504032,1.1241473999999998
132,Gaia DR3 6050689011085663232,293264.0781638554,209.4500853244259,-10000.0,1400.162132708643,247.0660429,-23.77813752,1.0619482
134,Gaia DR3 6050875614529786752,293577.5593589936,88.0730262248768,-10000.0,3333.342476610287,246.7200191,-23.72031717,4.680487
88,Gaia DR3 6049054002935211776,300176.19177249714,0.008310868326314044,0.0,36118511.32595532,247.0139634,-24.89006063,1.0293622
100,Gaia DR3 6049054002935211904,300258.9379782908,0.006555017764693352,0.0,45805968.611640684,247.00036699999998,-24.89533257,1.0413497999999999
648,Gaia DR3 6050875172149984128,300418.601171959,0.0038119720299195255,0.0,78809235.43352997,246.8528933,-23.71158811,0.9699099
180,Gaia DR3 6050886407784448512,300791.18534616305,80.81310268625616,-10000.0,3722.059608501066,246.60857709999996,-23.73422506,0.869398
42,Gaia DR3 6049053586322635904,304947.702982003,0.07871668478404831,0.0,3873990.677054018,246.98552940000002,-24.91052525,1.1974645000000002
839,Gaia DR3 6049385505691347712,305301.1697295827,175.78112067361275,-10000.0,1736.8257100628027,246.3555125,-23.86894528,0.9273290000000001
75,Gaia DR3 6050673239965741824,310229.9993672814,101.93656149026266,-10000.0,3043.363390248509,247.26024249999998,-23.8938478,1.0502245000000001
126,Gaia DR3 6049109012874697216,311282.58551599993,0.008330172285893974,0.0,37368084.93662432,246.4957012,-24.88014799,0.82435596
41,Gaia DR3 6049323211485628032,311308.8035598355,902.2910844691485,-10000.0,345.02036972136335,246.1466548,-24.43892591,4.038486
185,Gaia DR3 6049110039371711232,311814.0545523541,0.002377053507961508,0.0,131176708.26844649,246.4568219,-24.85899217,1.3148441000000002
43,Gaia DR3 6049076646002793856,315671.42853308684,0.007138524342510403,0.0,44220823.99484748,247.22529049999997,-24.79574763,1.2493054
136,Gaia DR3 6049113995038456576,327878.4219838726,0.010551441015617004,0.0,31074279.001189075,246.32885719999996,-24.80033065,1.1058816
155,Gaia DR3 6049377465512695040,328411.95364514866,80.65754329280922,-10000.0,4071.683071884824,246.20160750000002,-23.98791186,1.4264364
727,Gaia DR3 6049114338635711616,328576.0733153429,0.011454120912215525,0.0,28686275.95548821,246.29556119999998,-24.76787642,0.9450358
680,Gaia DR3 6049073549330631808,328855.5204940365,0.12868840191508127,0.0,2555440.2385930726,247.12464419999998,-24.90185489,1.2126244
622,Gaia DR3 6049380523529287808,330027.50339015666,215.34718959715062,-10000.0,1532.5368490182675,246.28115319999998,-23.87616505,0.9680597
137,Gaia DR3 6049126364544140928,330377.7877397812,0.009261829010378754,0.0,35670901.21935545,246.2710358,-24.74486464,1.0196128
294,Gaia DR3 6049132308778881280,334629.49670405156,0.01840973115622181,0.0,18176772.591866948,246.16541009999997,-24.58600003,0.9344579
82,Gaia DR3 6049050257723722752,334982.2501359914,0.003786004452299543,0.0,88479095.66839783,247.0458277,-24.95367598,1.0986798
111,Gaia DR3 6049387292397752576,337622.61584769824,89.27051149971517,-10000.0,3782.0172661246093,246.36926949999997,-23.77411821,1.8497542000000002
63,Gaia DR3 6049075443410369536,338040.16188861395,0.044198826651312265,0.0,7648170.494557179,247.23237819999997,-24.84991225,1.113964
293,Gaia DR3 6050889946837680640,338884.6093299061,119.77306790786739,-10000.0,2829.389070926906,246.50905759999998,-23.68111943,0.8281350000000001
531,Gaia DR3 6049380695327984512,339936.8784708495,155.4965096011448,-10000.0,2186.1383213218232,246.27878790000003,-23.84743609,1.040475
90,Gaia DR3 6050888950405097088,340378.71036058356,49.36526385009779,-10000.0,6895.105663654004,246.6570369,-23.62712537,1.4606656999999998
53,Gaia DR3 6049125947930612864,340579.24945452827,0.01903454092351908,0.0,17892695.748375446,246.27597369999998,-24.78264087,1.135508
1161,Gaia DR3 6049388666787288448,341719.42478509806,200.0819859922122,-10000.0,1707.8970057724177,246.4772421,-23.69533305,0.92152727
1369,Gaia DR3 6050889942539745664,341883.6353214747,478.3903920255718,-10000.0,714.6540587361957,246.505916,-23.67667293,1.1698579
56,Gaia DR3 6049061214183490560,343952.94202797255,0.0021878250419615467,0.0,157212270.37404844,246.51807319999998,-24.964478699999997,1.3035823999999998
440,Gaia DR3 6049049811047121536,344225.2797876369,0.004998741080462929,0.0,68862394.40026337,247.08007859999998,-24.95958442,1.1632218
78,Gaia DR3 6050896372106756608,344553.5882204735,2134.1284912660085,-10000.0,161.44931742890387,246.8953935,-23.52323066,1.5128802
81,Gaia DR3 6050904133110618752,346335.95875862194,373.28188722423226,-10000.0,927.8134584402598,247.08254219999998,-23.56447323,1.1254213
108,Gaia DR3 6050904240489234944,348938.7697568509,176.94731528669874,-10000.0,1971.9924497949187,247.0844078,-23.55846767,0.96311355
853,Gaia DR3 6049389010384675072,349893.6689212978,197.3324247944029,-10000.0,1773.1179723040739,246.38127450000002,-23.72824837,0.9286371999999999
744,Gaia DR3 6049387532915924864,350202.08503973944,174.6800083531095,-10000.0,2004.8206336916255,246.3596716,-23.74509627,0.9994082000000001
339,Gaia DR3 6049427768169552768,352479.5071918331,486.63592890908046,-10000.0,724.3187077904555,246.22368569999998,-23.84259448,1.0067977
324,Gaia DR3 6049378358865893376,352791.03413750266,0.007967108991968527,0.0,44280934.84012128,246.1769554,-23.95056527,1.0438291
160,Gaia DR3 6046072986395944064,353243.86720871413,0.009762327498979232,0.0,36184390.171877556,247.26634869999998,-24.86163157,1.1286227
400,Gaia DR3 6050614553532598016,353698.47172728536,0.006617081212383138,0.0,53452339.53988318,247.49703650000004,-24.16974295,1.1281968
248,Gaia DR3 6049353310617171584,354738.7653585345,347.41011359016255,-10000.0,1021.0951019607263,246.12177979999998,-24.04720586,1.150052
79,Gaia DR3 6049324620234856320,362498.62173458544,67.82314976743098,-10000.0,5344.762414862943,246.06609869999997,-24.45991428,1.0952151
308,Gaia DR3 6049347778696558976,362705.6884561798,0.03787296472880916,0.0,9576902.44355962,246.06631910000002,-24.18762068,1.0678331
164,Gaia DR3 6049324448436163840,363666.8873318268,231.12101773154268,-10000.0,1573.4911991182128,246.05582880000003,-24.48451461,1.0020856
332,Gaia DR3 6049427802529291392,364054.7782961916,0.015918704339241193,0.0,22869623.716721736,246.23541809999998,-23.8316633,1.1095903
65,Gaia DR3 6049045000683707392,366910.1458845183,0.0024593117170410945,0.0,149192208.26791486,246.80303500000002,-25.06728582,1.0498517
174,Gaia DR3 6050880497909590784,367205.28893024643,36.427075055922046,-10000.0,10080.559264407613,247.0458832,-23.60980257,0.9738344000000001
