dist_arcsec,z_pc,dist_to_dr_tau,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_nb_transits,rv_nb_deblended_transits,rv_visibility_periods_used,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,rv_time_duration,rv_amplitude_robust,rv_template_teff,rv_template_logg,rv_template_fe_h,rv_atm_param_origin,vbroad,vbroad_error,vbroad_nb_transits,grvs_mag,grvs_mag_error,grvs_mag_nb_transits,rvs_spec_sig_to_noise,phot_variable_flag,l,b,ecl_lon,ecl_lat,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,ebpminrp_gspphot,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,libname_gspphot
9074.36708499782,190.23798085765134,8.860211463874169,1636148068921376768,Gaia DR3 3405357351410419968,3405357351410419968,893585343,2016.0,74.26886423324224,0.26467088,16.175375397766448,0.14117841,5.256573873900955,0.2752759,19.095657,48.756226,38.84353398385008,0.31957683,-29.46777092800898,0.23030956,-0.17989357,0.15443368,-0.20584579,0.32609105,0.012059455,0.24810798,-0.18574068,0.20128395,0.13835134,-0.17146266,340,0,339,1,21.660421,1378.339,1.8243983,34.39437,31,false,1.2258538,,,,,,,,39,18,0.45842993,40,11,0,0.09752121,57.147335,0,0,1.9447795,0.2556125,0.53647447,0.14333159,0.2825772,-14.224658,2.4330173,-9.428836,27.714573,false,327,1378.9638646334013,5.753409,239.6777,17.838484,34,193.69380136975494,8.12659,23.834574,19.620752,36,2174.941401107505,10.754891,202.22812,16.404276,1.717692,0,3,0,3,0,3.2164764,1.7822685,1.4342079,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,184.4514554223772,-16.380495805516215,74.80867564422267,-6.438151662938133,false,false,0,false,false,false,false,false,false,true,false,1.02881774E-13,5.329161E-13,0.9999149,,,,,,,,,,,,,,,,,,,,,,
9405.656572193515,191.63750967110255,8.868891666498111,1636148068921376768,Gaia DR3 3409590269315583872,3409590269315583872,432727449,2016.0,69.33314328084215,0.037537754,18.163015558734447,0.022949757,5.21818511269661,0.043359697,120.346436,56.88042,-0.059601228812388385,0.053176027,-56.88038793590755,0.03685843,0.386267,0.0635474,0.069865614,0.015615194,0.07414545,-0.042424187,0.38157266,0.21782641,0.037931867,0.11446809,509,0,506,3,1.2671443,563.59546,0.0,0.0,31,false,1.271349,,,,,,,,59,18,0.07434563,60,10,0,0.017818566,172.7301,0,0,1.0396224,0.38372466,0.6278647,0.39233273,0.35708418,163.86102,-17.662928,40.529385,-33.448025,false,493,7047.863571517144,3.34656,2106.0024,16.067223,53,1329.0772240556048,7.7517405,171.45534,17.529667,53,8810.934534226171,12.671504,695.33453,14.885341,1.4387355,0,2,0,2,0,2.6443262,1.4624443,1.1818819,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,179.8132132617869,-18.96107734516438,70.3594836852147,-3.8782163472736237,false,false,0,true,false,false,false,false,false,true,false,1.7308995E-13,8.6457566E-13,0.99296397,,,,,,,,,,,,,,,,,,,,,,
7459.252525927891,198.35147285693245,8.88886285301204,1636148068921376768,Gaia DR3 3409946201843196544,3409946201843196544,85280123,2016.0,72.2432291548993,1.1433872,19.002287701426276,0.53403765,5.041555707132475,1.3131025,3.839423,9.834217,4.269587111460334,1.8650405,-8.859032040363136,1.3776106,0.3066132,0.09359209,-0.31859943,-0.15199864,0.2215798,-0.13808227,-0.33927032,0.182352,0.024246644,0.3785561,255,0,251,4,0.05736497,263.42532,0.96841425,0.22204144,95,false,,1.460701,0.19569239,0.03147586,-0.04153504,0.03011341,5.9923733E-4,0.28163233,29,15,2.778641,31,6,1,0.038020134,143.53062,2,0,1.0012312,0.47211152,0.65106493,0.2042691,0.14976661,-3.6736083,-6.977737,-1.8402741,8.275547,false,252,100.07029910443488,0.82725054,120.96735,20.686604,20,46.38809068599051,8.426605,5.504956,21.172525,26,127.34790347880748,8.140463,15.643816,19.485416,1.7361394,0,2,0,0,0,1.687109,0.48592186,1.2011871,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,180.88635566660736,-16.265397539174764,73.20980845778382,-3.407972972978261,false,false,0,false,false,false,false,false,false,false,false,9.7714455E-11,6.7715816E-10,0.999997,,,,,,,,,,,,,,,,,,,,,,
8618.804884298968,196.6042603044552,8.912864893704517,1636148068921376768,Gaia DR3 3309881778904464128,3309881778904464128,1098082355,2016.0,69.77786537339858,0.14178902,15.545709839592826,0.058629353,5.086359768864781,0.19362658,26.268911,56.14832,-19.588696772500157,0.19739984,-52.62049760967338,0.12383389,0.1716371,0.33590832,0.0764489,0.03725927,0.19020577,0.07014469,0.034856692,0.42841,0.08354258,0.17300367,559,0,558,1,0.58274204,723.6531,0.48751047,3.1729724,95,false,,1.1908367,0.024822347,0.07326483,0.050992906,-0.0047103213,-0.038585562,0.32504654,66,18,0.2836152,67,16,0,0.018524587,115.08621,0,0,1.0169823,0.18429987,0.672719,0.25360972,0.16022989,18.009037,-4.280634,20.672598,9.039168,false,554,1119.407942507378,1.3263049,844.005,18.064896,61,130.8758812693836,6.0137215,21.762877,20.046392,62,1579.3286167269964,8.793551,179.60077,16.751715,1.5277759,0,4,0,5,0,3.2946777,1.9814968,1.3131809,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,182.28420456130496,-20.231041745023457,70.41595297353093,-6.52929886557648,false,false,0,false,false,false,false,false,true,true,false,1.0231069E-13,5.111689E-13,0.99997145,3324.066,3319.6672,3328.3972,4.8456,4.841,4.8504,0.1293,0.1169,0.1415,240.4516,237.0159,243.5602,1.785,1.7482,1.8212,1.0954,1.0725,1.1181,0.7469,0.7333,0.7604,MARCS
5629.942425797463,200.08936442345885,8.913418640328699,1636148068921376768,Gaia DR3 3409450111645228928,3409450111645228928,1730691197,2016.0,70.7580000601491,0.17240953,18.20496934205254,0.08730892,4.99776688721771,0.19101341,26.164482,5.301394,-3.529544349326328,0.25676224,-3.9556409522329115,0.16727038,-0.027282447,0.11083832,-0.1920664,0.063448444,-0.07535859,0.043351453,-0.25031126,0.033372026,0.20105256,-0.075569786,454,0,452,2,-1.1270155,506.53293,0.27515602,0.4785502,95,false,,1.1694944,0.034755435,-0.07355641,0.08736097,-0.061302397,0.011957666,0.058639787,52,17,0.35764065,52,11,0,0.021111146,177.48343,0,0,0.9617652,0.42186162,0.6518759,0.34316114,0.32889375,-5.5001183,4.0933785,0.26264852,17.373611,false,447,662.0975590180107,1.1305428,585.64575,18.635061,47,91.88926979707595,6.4510536,14.244072,20.43038,48,914.0717691649943,8.267903,110.556656,17.345446,1.5193547,0,2,0,2,0,3.0849342,1.7953186,1.2896156,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,180.65617235688757,-17.86809806753116,71.70950344694236,-4.02085094850514,false,false,0,false,false,false,false,false,true,false,false,8.569089E-11,1.0888009E-12,0.99989027,3189.6965,3180.7349,3201.2747,5.0458,5.0329,5.0567,-0.3064,-0.3409,-0.2757,191.7903,186.1288,197.9338,1.0866,1.0234,1.1587,0.6661,0.6268,0.7108,0.4535,0.428,0.4824,MARCS
8672.777482463056,196.49470660205998,8.9134438068387,1636148068921376768,Gaia DR3 3406664258418758144,3406664258418758144,1178444884,2016.0,73.78322816220297,0.23195186,18.44400358102646,0.0976853,5.089195619020896,0.24079406,21.135054,22.391344,-17.88060573706677,0.33143818,-13.477990756191494,0.2231717,-0.13878739,-0.006516582,-0.1178018,0.18888392,0.13756193,0.14503202,-0.18567619,0.041637022,0.11966681,-0.18729931,525,0,522,3,0.4243155,575.34326,0.0,0.0,31,false,1.2140592,,,,,,,,60,17,0.46616986,60,11,0,0.011860568,42.828625,0,0,1.012577,0.43257868,0.7050931,0.445069,0.31598368,-2.855994,3.6991367,-0.9111794,10.117325,false,520,459.8038759662536,0.8118965,566.3331,19.030935,40,59.21554411380019,6.5032005,9.1056,20.907454,44,642.8694936695176,9.931992,64.72715,17.727589,1.5269228,0,0,0,0,0,3.179865,1.8765182,1.3033466,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,182.25677978898094,-15.428201363482623,74.59637076036454,-4.132307676639699,false,false,0,false,false,false,false,false,false,false,false,7.543696E-13,6.6463024E-13,0.9999905,,,,,,,,,,,,,,,,,,,,,,
6267.112160621145,199.60624906496085,8.921658429086264,1636148068921376768,Gaia DR3 3308986742079163776,3308986742079163776,542291820,2016.0,71.72871254152408,0.09447536,15.238224047825318,0.051058896,5.009863191580515,0.10221837,49.01138,53.89606,28.05513016442495,0.12108744,-46.018420779715484,0.09029565,-0.14476378,0.1917453,-0.12830341,0.13105929,-0.18148445,0.043399855,-0.13458624,0.16460596,0.21044308,-0.1109212,367,0,366,1,-0.8088372,358.25958,0.0,0.0,31,false,1.2560856,,,,,,,,43,18,0.16965081,46,12,0,0.023537278,178.4934,0,0,0.9691358,0.23647268,0.54095244,0.14086126,0.35004994,-33.101948,4.527315,-20.188871,25.331749,false,355,1798.4959943917654,1.8827894,955.2295,17.550093,41,302.1398820645569,8.58175,35.207256,19.138021,38,2305.1819689644703,11.569763,199.24193,16.341133,1.4497235,0,2,0,1,0,2.7968884,1.5879288,1.2089596,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,183.7428289706594,-18.91063450706765,72.2527001231009,-7.082448257006481,false,false,0,true,false,false,false,false,true,true,false,1.1961469E-13,5.9748864E-13,0.9982583,3435.7852,3427.8347,3443.6067,4.9518,4.9324,4.9615,-0.3509,-0.3778,-0.3276,201.8747,197.5573,207.4814,1.2042,1.1735,1.2338,0.7768,0.7565,0.7964,0.4876,0.4757,0.4989,MARCS
9024.83049208876,189.82161349872902,8.945647274472874,1636148068921376768,Gaia DR3 3405307740242927616,3405307740242927616,1120061608,2016.0,74.19655033868113,1.2047881,16.030755778017568,0.53383344,5.268103992840076,1.2091439,4.356888,28.3687,10.113735032638544,1.3582464,-26.50463164431899,0.9868648,-0.07335053,0.35084736,-0.23181944,-0.03522295,-0.2645201,-2.5307873E-4,-0.25546205,0.023664009,-0.04006721,0.23537841,316,0,316,0,-0.18943761,396.15887,2.465604,1.3980143,95,false,,1.0902063,0.19732822,-0.38120115,-0.018986221,-0.14291298,-0.07478844,0.1479587,36,16,1.9580036,36,7,0,0.07146907,157.95395,0,0,0.9913293,0.47446474,0.6406177,0.25973415,0.27709708,-18.017887,-0.4301519,-12.423764,11.656078,false,313,98.01364174651323,0.76817095,127.59353,20.70915,15,43.96639617224659,9.255322,4.7503905,21.23074,33,167.34091319404712,8.921649,18.756725,19.18889,2.155897,0,0,0,0,0,2.0418491,0.5215893,1.5202599,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,184.53225771222102,-16.52098221677118,74.72332869703943,-6.574354662153738,false,false,0,false,false,false,false,false,false,false,false,5.4289344E-11,3.5623284E-6,0.99999183,,,,,,,,,,,,,,,,,,,,,,
9053.861340013627,189.75580180921153,8.992808047957576,1636148068921376768,Gaia DR3 3405834092780411776,3405834092780411776,298127809,2016.0,74.25254942690914,0.2196362,17.83907878115869,0.105244234,5.269931092833947,0.2535747,20.782558,56.485016,54.1878459856626,0.29511142,15.944724088743985,0.21359396,0.07092764,-0.23997463,-0.017616529,-0.09029741,-0.027451005,-0.005969852,-0.1101309,0.01949586,0.30506304,-0.0294658,335,0,335,0,0.13883227,355.87158,0.253319,0.28909373,31,false,1.2367874,,,,,,,,39,16,0.40803802,39,8,0,0.04244635,175.6423,0,0,1.0043972,0.24794719,0.66567993,0.3710802,0.23571208,-11.288416,-0.38820207,-5.2620378,10.512031,false,331,664.5561027506302,1.365256,486.763,18.631039,33,94.18906638828022,6.21095,15.165002,20.403542,33,879.1878749083884,9.179911,95.77303,17.387691,1.4647025,0,0,0,0,0,3.01585,1.7725029,1.2433472,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,183.03640804813486,-15.423326309119535,74.97435224028489,-4.782564793391052,false,false,0,false,false,false,false,false,true,false,false,1.03161125E-13,5.176577E-13,0.9998872,3184.694,3175.9907,3194.3735,4.7936,4.7635,4.8419,-1.0359,-1.0494,-1.0133,180.4718,174.1758,186.3269,1.0854,1.0169,1.144,0.6756,0.6331,0.7127,0.4404,0.4145,0.463,MARCS
7890.628967325337,187.6866678106445,8.994977297562636,1636148068921376768,Gaia DR3 3310003687254938880,3310003687254938880,870680611,2016.0,69.6164337337163,1.4018995,16.255809418494437,0.61460346,5.328028952002556,1.5416746,3.4560008,12.358974,4.511329728889409,2.272801,11.506178958788068,1.8532841,0.044590328,-0.4301604,0.29929367,-0.46542004,0.18625164,-0.23794898,0.2305382,-0.29243988,0.42976648,0.122343384,245,0,244,1,1.5418377,293.47607,2.2790928,1.1889073,95,false,,1.47654,0.21178377,-0.04129702,-0.07386934,0.03188308,0.17999849,0.210899,29,13,3.2122428,30,9,3,0.012875193,178.9008,0,0,1.0700631,0.2513326,0.6835288,0.29786682,0.21570277,150.15027,-12.221063,29.652697,-23.372839,false,241,95.11493668473376,0.8352562,113.87516,20.741745,18,73.00938357984859,7.5168705,9.712737,20.680096,23,68.79403196995506,8.480787,8.111751,20.154018,1.4908638,0,0,0,1,0,0.5260773,-0.061649323,0.5877266,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,181.58383315316925,-19.921803517243866,70.36046080130343,-5.8045221375680685,false,false,0,false,false,false,false,false,false,false,false,8.3269896E-7,1.6746279E-9,0.9999957,,,,,,,,,,,,,,,,,,,,,,
