dist_arcsec,z_pc,dist_to_hd100546,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_nb_transits,rv_nb_deblended_transits,rv_visibility_periods_used,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,rv_time_duration,rv_amplitude_robust,rv_template_teff,rv_template_logg,rv_template_fe_h,rv_atm_param_origin,vbroad,vbroad_error,vbroad_nb_transits,grvs_mag,grvs_mag_error,grvs_mag_nb_transits,rvs_spec_sig_to_noise,phot_variable_flag,l,b,ecl_lon,ecl_lat,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,ebpminrp_gspphot,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,libname_gspphot
0.0,108.11559358976994,0.004406410460021259,1636148068921376768,Gaia DR3 5233604915060520576,5233604915060520576,1274854942,2016.0,173.355495663176,0.03196183,-70.19478968014928,0.033093892,9.249359567819285,0.0375188,246.526,38.73021,-38.73008736299329,0.045919027,-0.09675058974162411,0.039339226,0.102722794,0.11515627,0.10167425,0.21303475,0.17658475,0.26804498,0.23686792,0.2831646,0.1940419,0.18898578,335,335,334,1,7.342682,4655.4424,0.38353065,155.7947,31,false,1.745985,,,,,,,,38,25,0.06782816,42,11,9,0.016019018,157.88185,0,0,1.2983924,,,,,,,,,true,349,3.986640873711577E7,28544.65,1396.6333,6.685849,39,2.9191247172922105E7,55184.188,528.97845,6.6754107,40,1.775883131343721E7,44663.555,397.61346,6.6243596,1.1776851,0,39,0,40,0,0.05105114,-0.010438442,0.061489582,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,296.3670436617567,-8.323778267608043,225.14698135682642,-61.49887851673468,false,false,0,true,true,false,false,false,false,true,false,1.06014745E-13,5.295383E-13,0.9996059,9307.095,9294.325,9320.455,3.9716,3.9686,3.9749,-2.4925,-2.4982,-2.4809,110.451,110.1472,110.7475,0.0714,0.0691,0.0738,0.0683,0.066,0.0706,0.0363,0.035,0.0375,PHOENIX
1040.296670213577,109.74077115013378,1.7113479065051278,1636148068921376768,Gaia DR3 5233705138108011264,5233705138108011264,1446206240,2016.0,173.95587465532873,0.1436632,-69.99054814484829,0.13789555,9.112383570112911,0.16175295,56.335194,81.76525,65.54395884333594,0.2009354,-48.88298569336266,0.17034663,-0.04484127,-0.25524214,-0.1930205,0.062069427,0.11568428,0.08406632,-0.19009162,-0.017443899,0.047514904,-0.079454444,333,0,332,1,0.51156026,355.77017,0.45272213,0.92593765,31,false,1.6527351,,,,,,,,39,27,0.28234807,43,15,0,0.03733719,119.82394,0,0,1.0190442,0.042482004,0.04020234,0.18423474,0.15399346,-117.67484,-58.79244,14.747507,-0.84922653,false,363,653.66361834013,1.1662385,560.4888,18.648981,41,401.8394624939433,5.5757856,72.06867,18.828411,41,337.4302792839101,5.09992,66.16384,18.427435,1.1309636,0,0,0,0,0,0.40097618,0.17943001,0.22154617,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,296.50331081663603,-8.068214022941701,225.03673643548507,-61.21478038722637,false,false,0,true,false,false,false,false,false,false,false,2.0865007E-8,5.1767775E-13,0.99996233,,,,,,,,,,,,,,,,,,,,,,
2928.358453587157,109.18293985951826,1.8732738716829167,1636148068921376768,Gaia DR3 5234100691728209536,5234100691728209536,33803050,2016.0,174.96115286601253,0.020438908,-69.59716475611526,0.01885335,9.158940043990974,0.022735255,402.85187,63.861813,-56.42517168283339,0.026711835,-29.908716711530296,0.02497118,0.14992712,-0.10220286,-0.15652396,0.106627665,0.09601731,0.133835,0.10015826,0.091627546,-0.01276562,0.24759914,362,0,359,3,1.4023683,396.53888,0.055330403,0.67755824,31,false,1.2929415,,,,,,,,41,26,0.04020906,47,16,0,0.010456462,101.00969,0,0,1.0522066,0.058930937,0.18045546,0.033451352,0.17159858,-62.387966,-29.468287,4.775389,11.276211,false,389,16202.505544614552,6.7870708,2387.2605,15.163411,39,3520.6971305522707,7.724213,455.8001,16.47197,38,19312.527654308567,17.702297,1090.9617,14.033298,1.4092404,0,10,0,0,0,2.438672,1.3085585,1.1301136,27.554474,4.945267,2,11,8,10,4.1087284,,,985.8064,,3600.0,4.5,0.0,101,,,,13.369689,0.11436793,3,,NOT_AVAILABLE,296.7268038268787,-7.592526974609411,224.78956162255318,-60.703992488230895,false,false,0,true,false,false,false,false,true,true,false,1.7308995E-13,8.6457724E-13,0.99296397,3532.1428,3527.0156,3536.2773,4.7759,4.7623,4.7863,-0.4653,-0.4983,-0.4384,108.9541,108.6814,109.2203,0.729,0.7227,0.7358,0.4853,0.481,0.4899,0.295,0.2925,0.2977,MARCS
3410.4690952344117,108.95569403597793,1.9796186548134465,1636148068921376768,Gaia DR3 5234053996827722112,5234053996827722112,664876336,2016.0,175.77537546580527,0.5141368,-69.73611591111155,0.38738164,9.17804258738229,0.5067531,18.11147,16.12302,2.4566119387902585,0.86312246,-15.934769034513035,0.56170017,-0.05043514,0.029716603,0.16022354,0.12410628,-0.041582048,0.13632272,-0.080938205,-0.03169311,0.16510648,-0.033791836,322,0,305,17,25.365385,1607.2888,4.5928555,48.643684,95,false,,1.2359775,0.12184511,-0.006969381,0.0142232515,-0.0218644,-0.19663332,-0.11666271,35,20,1.197946,44,38,0,0.10860122,35.96393,19,39,2.198499,0.049281977,0.27427375,0.09622425,0.15691534,-145.80598,3.9109337,-14.952124,-0.91520184,false,337,383.9207737159891,4.1664066,92.146736,19.226763,0,,,,,0,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,297.03949216245684,-7.649964290401319,225.35816540560293,-60.557063607645986,false,false,0,false,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,
3986.6943854079304,107.81757218439972,2.1085912438055288,1636148068921376768,Gaia DR3 5234042761193763200,5234042761193763200,1586566916,2016.0,176.31980240931094,0.9781442,-69.751884420427,1.1537005,9.274925967445327,1.295447,7.1596336,6.9034967,0.5081217203548255,1.6306034,-6.884771740457145,1.4767486,-0.45231345,-0.34408644,-0.062410202,0.03656141,0.45905524,0.1538777,-0.38854343,-0.01308322,0.3402496,-0.274075,148,0,145,3,-0.6371358,132.12126,0.0,0.0,95,false,,1.9164408,0.28791687,0.018923383,-0.2528014,0.11430041,-0.43170354,0.3596149,17,12,2.4673293,19,5,1,0.018974127,161.63591,0,15,0.9596652,0.16594292,0.29906565,0.22200249,0.333316,-155.63922,53.778194,-30.202333,-3.2233236,false,149,93.51957033185953,1.009589,92.63133,20.76011,0,,,,,0,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,297.2272718378712,-7.616238737700594,225.61067167410218,-60.41457636525812,false,false,0,false,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,
4755.488602977208,107.95500562968249,2.4962355628826525,1636148068921376768,Gaia DR3 5234145599901387776,5234145599901387776,1302709244,2016.0,174.989668193529,1.0633229,-69.00284450232343,0.88077086,9.263118409074007,1.1132926,8.320471,7.903205,-7.607557211307097,1.3199872,2.1414299278507967,1.0990664,0.09047524,-0.12307419,-0.29472783,-0.06696686,0.26296237,-0.053865332,-0.13863756,0.05911426,-0.036139425,0.06337522,221,0,213,8,16.967352,816.465,7.373271,29.04775,95,false,,1.5247103,0.24055767,-0.13258734,0.022193495,0.031390995,-0.16835046,0.08289689,27,20,1.8732114,32,12,3,0.17061824,142.80383,25,3,1.9388169,0.3447417,0.20870508,0.15545247,0.24580574,-85.08134,-15.598349,-38.484253,14.555246,false,225,154.53162575553404,2.4440837,63.226814,20.214823,25,96.4094696270745,5.966994,16.157125,20.378242,22,221.7934919247434,8.107515,27.356531,18.883024,2.0591445,0,25,0,22,0,1.4952183,0.16341972,1.3317986,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,296.57146858426876,-7.018436854678115,223.82900620319705,-60.34353639198778,false,false,0,false,false,false,false,false,false,false,false,3.995226E-10,5.2342397E-9,0.99999446,,,,,,,,,,,,,,,,,,,,,,
3498.81961855667,106.33033999570789,2.551613578009409,1636148068921376768,Gaia DR3 5234110312446964096,5234110312446964096,1246841100,2016.0,174.9057425168444,1.3819715,-69.3836984339216,0.846789,9.404653460530323,1.3408055,7.0141816,87.80897,-87.75034073044694,2.1618168,3.208204647647644,1.4149837,0.2508521,0.6391326,0.7531195,-0.4800569,0.35489425,0.1390741,-0.04489763,0.6220916,-0.4066973,-0.5241962,147,0,147,0,3.9419978,231.17995,2.5097585,1.4919568,95,false,,1.5518391,0.22731943,-0.12845983,-0.03772779,-0.24625999,-0.13702343,0.13659164,17,14,3.4561627,20,4,0,0.04529663,107.54797,0,0,1.2411586,0.032368124,0.17371093,0.19241059,0.24777657,-66.081696,-11.9880495,5.310641,-1.9788588,false,164,102.89770832827287,1.264273,81.38883,20.656353,2,131.34740646780025,3.689769,35.597733,20.042488,5,90.56373869006704,17.347752,5.2204885,19.855509,2.1566188,0,0,0,0,0,0.1869793,-0.6138649,0.8008442,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,296.648499017026,-7.39273363067302,224.41419964839906,-60.59402065197154,false,false,0,false,false,false,false,false,false,false,false,1.3562706E-7,1.0571843E-8,0.99999976,,,,,,,,,,,,,,,,,,,,,,
5454.799440684263,107.56697712093879,2.905019478648101,1636148068921376768,Gaia DR3 5234247201657781760,5234247201657781760,158000820,2016.0,175.2583468791486,1.0537413,-68.83357270836856,1.0041977,9.296533441445403,1.2047428,7.7166123,16.341135,-10.70974209698118,1.2141844,12.342371943519122,1.2603047,-0.13483007,0.10410525,-0.021437086,0.1834089,-0.19230488,0.20710967,-0.4061598,-0.042436108,0.4035546,-0.21714392,202,0,198,4,39.058044,2529.633,8.197141,72.07708,95,false,,1.5458074,0.2905728,0.035244018,-0.2651107,0.006284612,-0.12980117,0.16281408,23,17,1.9782302,29,13,10,0.077118,127.811455,28,17,3.5511525,0.19797754,0.1376441,0.10629984,0.15312473,-102.95378,7.438263,9.952924,29.913906,false,184,194.8700695688547,1.4013146,139.06233,19.963003,20,92.24227442728706,8.834106,10.441607,20.426218,21,370.83067185618444,8.030445,46.178097,18.324957,2.3763163,0,20,0,21,0,2.1012611,0.46321487,1.6380463,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,296.6185532572098,-6.829206679697461,223.67364961836518,-60.16450742119504,false,false,0,false,false,false,false,false,false,false,false,9.8977264E-11,3.994561E-7,0.9999902,,,,,,,,,,,,,,,,,,,,,,
2979.016242115019,110.57197521116802,2.916479509254849,1636148068921376768,Gaia DR3 5233530487571315712,5233530487571315712,687859504,2016.0,175.11324902876757,1.7002903,-70.77799127642879,0.94264305,9.043882937699369,1.1072124,8.168156,27.750639,-8.807787256059076,2.0372734,26.315790750374532,1.5775695,-0.28700358,0.06455183,0.60369354,0.10682236,0.29081497,-0.027417133,0.33906528,0.14125055,0.11580103,-0.00582168,136,0,133,3,7.109831,314.2459,5.156849,10.312982,95,false,,0.63506967,0.30587974,-0.086955465,0.11176395,0.14366181,0.09582403,0.14648294,16,10,3.0437794,18,3,4,0.111910075,143.49695,39,16,1.4748069,0.19312146,0.5060573,0.07346767,0.5480584,-113.867905,19.823292,-4.8731422,8.110633,false,131,132.88884863577633,1.7277904,76.9126,20.378645,0,,,,,0,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,297.1051328399438,-8.713578818179268,226.84498632241792,-61.340866572542325,false,false,0,false,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,
2416.825056457425,110.7423433113756,2.9189907533950197,1636148068921376768,Gaia DR3 5228325884846024192,5228325884846024192,1028618167,2016.0,171.82381475519247,0.19434133,-70.62726231471497,0.1522115,9.029969658383404,0.19713922,45.80504,169.1195,-135.64686754410803,0.25203878,101.00166663085943,0.19868967,-0.041757938,0.16347976,-0.03711386,0.20935877,0.12397379,0.20461416,-0.013853286,0.1703764,0.27762458,0.017127743,356,0,355,1,0.25334644,419.12875,0.6569834,1.4207333,95,false,,1.1654555,0.05374347,-0.004644428,-0.084002554,0.042967513,-0.18842159,0.020810869,41,27,0.35121512,47,16,0,0.022429982,129.12059,0,0,1.0086466,0.14892186,0.18673564,0.068366125,0.17145562,-163.54704,-2.6769204,-37.627483,11.062701,false,381,450.024367942004,1.1031154,407.95767,19.054277,29,36.98942953661326,4.364139,8.475768,21.418348,40,707.2385406196117,4.81718,146.81587,17.623981,1.6537504,0,0,0,0,0,3.7943668,2.364071,1.430296,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,296.00997044780576,-8.894790322526251,225.3151553793835,-62.16550902716094,false,false,0,false,false,false,false,false,false,false,false,1.02060084E-13,5.09785E-13,0.99999624,,,,,,,,,,,,,,,,,,,,,,
